Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
72,Bonk's Adventure,Project S-11,F-Zero: GP Legend,The Legendary Starfy,Nintendogs + Cats,Master of Illusion Express: Deep Psyche,Snake Rattle 'n' Roll,The Lost Vikings,South Park,Pokémon XD: Gale of Darkness,Skylanders: Spyro's Adventure,Resident Evil Revelations,NieR:Automata The End of YoRHa Edition,Pachinko II,Asterix and the Secret Mission,Eternal Champions,Wimbledon,,Cliffhanger,Hexen,Time Stalkers,Marvel vs. Capcom: Clash of Super Heroes,Sly Cooper and the Thievius Raccoonus,Deadly Premonition: The Director's Cut,Bloodstained: Curse of the Moon,Silent Hill: Shattered Memories,The Binding of Isaac: Rebirth,Silkworm,Ordyne,Bubble Trouble,Wing Commander III: Heart of the Tiger,Chack'n Pop,Vaxol,DonPachi,The Super Spy
73,Mr. Do!,Croc,F-Zero: Climax,Mario vs. Donkey Kong 2: March of the Minis,The Legend of Zelda: Tri Force Heroes,Brain Age Express: Math,Little Samson,Super Bomberman,Rush 2: Extreme Racing USA,Pokémon Channel,Mario Party 8,Ninja Gaiden 3: Razor's Edge,Dark Souls Remastered,Music Station,Sonic Spinball,NBA Jam Tournament Edition,Evander Holyfield's Real Deal Boxing,,Compton's Interactive Encyclopedia,Sega Ages Volume 1,Elemental Gimmick Gear,Mega Man X4,Sly 2: Band of Thieves,The Elder Scrolls IV: Oblivion,The Witness,Hot Shots Golf: Open Tee 2,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,Banshee,Psychosis,Dinolympics,Wing Commander: Privateer,Legend of Kage,Outrun,Guwange,Baseball Stars Professional
74,Solomon's Club,Croc 2,Tales of Phantasia,Trauma Center: Under the Knife,Mario & Luigi: Dream Team,Brain Age Express: Arts & Letters,Little Nemo: The Dream Master,Earthworm Jim,Army Men: Sarge's Heroes,Sonic Adventure DX: Director's Cut,Mario Party 9,Call of Duty: Ghosts,Portal Companion Collection,Q*bert,Sonic Blast,Madden NFL 94,George Foreman's KO Boxing,,Cosmic Fantasy Stories,Sega Ages: After Burner II,Armada,Mega Man 8,Sly 3: Honor Among Thieves,Devil May Cry 4,Cuphead,Medal of Honor: Heroes,Hotline Miami 2: Wrong Number,Ambermoon,Tiger Road,,Descent,Pooyan,After Burner,Espgaluda,Art of Fighting 3
75,Ninja Taro,Daikatana,Phantasy Star Collection,Trauma Center: Under the Knife 2,Mario & Luigi: Paper Jam,Brain Age Express: Sudoku,Shadowgate,Earthworm Jim 2,Pokemon Puzzle League,Sonic Heroes,Wii Party,Sniper Elite V2,Diablo III: Eternal Collection,Gyrodine,Taz-Mania,Desert Strike: Return to the Gulf,Factory Panic,,Dune,Sega Ages: OutRun,Bangai-O,R-Type Delta,Dark Cloud,The Last of Us: Left Behind,Firewatch,Dragon Ball Z: Tenkaichi Tag Team,Volume,Black Crypt,Genpei Toumaden,,Descent II,Q*bert,E.I.: Exa Innova,Truxton II,Fatal Fury 3
76,Hyper Lode Runner,Rat Attack,Super Robot Taisen: Original Generation,Contra 4,Mario & Luigi: Superstar Saga + Bowser's Minions,Asphalt 4: Elite Racing,Paperboy,Super Star Wars,Space Station Silicon Valley,Sonic Mega Collection,The Conduit,Splinter Cell: Blacklist,Bravely Default II,Pro Yakyuu: Pennant Race,The Flash,Jungle Strike,Royal Stone,,Dungeon Master II,Sega Ages: Space Harrier,Mars Matrix,Einhander,Onimusha: Warlords,Yakuza: Dead Souls,The Messenger,FlatOut: Head On,Day of the Tentacle Remastered,Captive,Forgotten Worlds,,Heretic,Oil's Well,Sphere,Batsugun,Samurai Shodown V Special
77,For the Frog the Bell Tolls,Shanghai Pocket,Super Robot Taisen: Original Generation 2,Bangai-O Spirits,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Game & Watch: Mario's Cement Factory,Wizards & Warriors,Super Empire Strikes Back,Hybrid Heaven,Sonic Gems Collection,The Conduit 2,Shantae: Half-Genie Hero,Live A Live,Tank Battalion,Spider-Man: Return of the Sinister Six,Urban Strike,Sylvan Tale,,Earnest Evans,Golden Axe: The Duel,Gunbird 2,Gradius Gaiden,Onimusha 2: Samurai's Destiny,Batman: Arkham Asylum,Kingdom: Two Crowns,Nayuta no Kiseki,Lone Survivor: The Director's Cut,Perihelion,Sidearms,,Hexen: Beyond Heretic,Jet Set Willy,Night Shade,RayForce,Samurai Shodown V
78,Trax,Pocket Bomberman,Game & Watch Gallery 4,Lunar Knights,Paper Mario: Sticker Star,Game & Watch: Donkey Kong Jr.,Donkey Kong,Super Return of the Jedi,Tetrisphere,Shadow the Hedgehog,Dead Space: Extraction,The Binding of Isaac: Rebirth,13 Sentinels: Aegis Rim,Pachi-Com,Batman Returns,OutRun,Chuck Rock,,Puggsy,Herc's Adventures,Giga Wing,Thunder Force V,Onimusha 3: Demon Siege,Ratchet & Clank Collection,Stray,Sid Meier's Pirates!,Castlestorm,Ishar: Legend of the Fortress,Time Cruise II,,Blood,Manic Miner,Aoki Ookami to Shiroki Mejika,G-Darius,The King of Fighters '97
79,Atomic Punk,Montezuma's Return,Tony Hawk's Pro Skater 3,Geometry Wars: Galaxies,Yoshi's New Island,Game & Watch: Flagman,1943: The Battle of Midway,NBA Jam,Killer Instinct Gold,The Simpsons: Hit & Run,Resident Evil: The Darkside Chronicles,Freedom Planet,Sea of Stars,,Strider,Super Hang-On,Chuck Rock II: Son of Chuck,,Egawa Suguru no Super League CD,Iron Storm,Giga Wing 2,Raystorm,Jak X: Combat Racing,Dragon Age: Origins - Awakening,SIGNALIS,Soulcalibur: Broken Destiny,Darkest Dungeon,Eye of the Beholder II: The Legend of Darkmoon,World Court Tennis,,Shadow Warrior,Bruce Lee,Dragon Slayer: The Legend of Heroes,Super Hang-On,The King of Fighters '96
80,Pac-In-Time,Mission: Impossible,Tony Hawk's Pro Skater 4,Tony Hawk's American Sk8land,Poochy & Yoshi's Woolly World,Game & Watch: Vermin,Super Spike V'Ball,Kirby's Dream Course,WCW/nWo Revenge,The Simpsons: Road Rage,Resident Evil: The Umbrella Chronicles,Oddworld: New 'n' Tasty,Dave the Diver,,Mercs,Virtua Racing,Cool Spot,,F1 Circus CD,Three Dirty Dwarves,Zero Gunner 2,Alundra,Need for Speed: Most Wanted,Ni no Kuni: Wrath of the White Witch,Kena: Bridge of Spirits,Secret Agent Clank,Terraria,Body Blows,Keith Courage in Alpha Zones,,Rise of the Triad,H.E.R.O.,Craze,Power Drift,Top Player's Golf
81,Adventure Island,Spy vs Spy,Doom,Ninja Gaiden: Dragon Sword,WarioWare Gold,Game & Watch: Judge,Bucky O'Hare,Final Fantasy: Mystic Quest,Gauntlet Legends,Spider-Man 2,Call of Duty: World at War,Swords & Soldiers II,Tunic,,Streets of Rage 2,Super Monaco GP,Desert Strike,,Genghis Khan II: Clan of the Gray Wolf,Enemy Zero,Under Defeat,Tomba!,Need for Speed: Underground,Tales of Graces F,Celeste,Sonic Rivals,Persona 3: Dancing in Moonlight,Supercars II,Bravoman,,Dark Forces,Knightmare II: The Maze of Galious,Seed of Dragon,Turbo OutRun,Rage of the Dragons
82,Adventure Island II: Aliens in Paradise,Bomberman Max: Red Challenger,Doom II,Rune Factory: A Fantasy Harvest Moon,Rhythm Heaven Megamix,Game & Watch: Manhole,Balloon Fight,Front Mission,Extreme-G,Spider-Man,Call of Duty: Modern Warfare: Reflex Edition,Teslagrad,Death's Door,,Captain Silver,Micro Machines,Terminator 2: Judgment Day,,Iron Helix,D,Border Down,Tomba! 2: The Evil Swine Return,Need for Speed: Underground 2,Tales from the Borderlands,Owlboy,PaRappa the Rapper,Danganronpa: Trigger Happy Havoc,Test Drive II: The Duel,Chew Man Fu,,The Settlers II,River Raid,Gall Force: Defense of Chaos,Galaxy Force II,SNK vs. Capcom: SVC Chaos
83,Qix,Batman Beyond: Return of the Joker,Duke Nukem Advance,Rune Factory 2: A Fantasy Harvest Moon,Pushmo,Game & Watch: Helmet,Gimmick!,Live A Live,Extreme-G 2,X-Men Legends,Call of Duty: Black Ops,Never Alone,Spiritfarer,,Danan: The Jungle Fighter,Micro Machines 2: Turbo Tournament,Predator 2,,Heavy Nova,Corpse Killer,Trigger Heart Exelica,MediEvil II,Midnight Club 3: DUB Edition,Resident Evil 4 HD,Alwa's Legacy,Lunar: Silver Star Harmony,Super Stardust Delta,Alien Breed II: The Horror Continues,Cratermaze,,Might and Magic I: The Secret of the Inner Sanctum,Choplifter,Super Rambo Special,Thunder Blade,Super Sidekicks
84,Radar Mission,Batman: Chaos in Gotham,Wolfenstein 3D,Rune Factory 3: A Fantasy Harvest Moon,Crashmo,Game & Watch: Chef,Batman: The Video Game,Street Fighter Alpha 2,Ridge Racer 64,X-Men Legends II: Rise of Apocalypse,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Stealth Inc 2: A Game of Clones,Baldur's Gate and Baldur's Gate II: Enhanced Editions,,Action Fighter,General Chaos,Alien 3,,Jaguar XJ220,Myst,Sturmwind,Dino Crisis 2,Midnight Club II,Dead Space 2,Minoria,Warriors Orochi,Persona 5: Dancing in Starlight,Cannon Fodder 2,Power Golf,,Caesar II,Keystone Kapers,Daikaijuu Chouhei,Night Striker,League Bowling
85,Tennis,Mickey's Racing Adventure,Metal Slug Advance,Mega Man ZX,Stretchmo,Oregon Trail,Gargoyle's Quest II,Super Tennis,Turok 3: Shadow of Oblivion,Marvel: Ultimate Alliance,Final Fantasy Crystal Chronicles: The Crystal Bearers,The Fall,Sonic Mania,,Cloud Master,Mutant League Football,RoboCop 3,,Jeopardy!,Lunacy,Last Hope,Syphon Filter 2,Star Wars: Battlefront II,Fallout 3,CrossCode,Ys vs. Sora no Kiseki: Alternative Saga,World of Final Fantasy,Turrican III,Victory Run,,Ultima II: The Revenge of the Enchantress,Stop the Express,XZR: Hakai no Guzo,Continental Circus,Stakes Winner 2
86,Golf,Magical Tetris Challenge,Klonoa: Empire of Dreams,Mega Man ZX Advent,BoxBoy!,Bomberman Blitz,Gradius,Legend of the Mystical Ninja,Turok: Rage Wars,Lord of the Rings: The Two Towers,Final Fantasy Fables: Chocobo's Dungeon,Typoman,Crash Bandicoot N. Sane Trilogy,,Bomber Raid,Mutant League Hockey,Star Wars,,Kris Kross: Make My Video,The Mansion of Hidden Souls,DUX,Syphon Filter 3,Star Wars: Battlefront,Streets of Rage 2,Shovel Knight: Treasure Trove,Black Rock Shooter: The Game,Demon Gaze,Lotus Esprit Turbo Challenge,Double Dungeons,,The 7th Guest,Door Door,XZR II,S.C.I.: Special Criminal Investigation,Stakes Winner
87,Baseball,Bust-a-Move Millennium,Klonoa 2: Dream Champ Tournament,Mega Man Star Force: Pegasus,BoxBoxBoy!,Spotto!,Destiny of an Emperor,Battletoads in Battlemaniacs,Bomberman Hero,Lord of the Rings: The Return of the King,Tales of Symphonia: Dawn of the New World,Elliot Quest,Spyro Reignited Trilogy,,Scramble Spirits,Gain Ground,Primal Rage,,Lethal Enforcers,Cyber Troopers Virtual-On,Redux: Dark Matters,Tenchu: Stealth Assassins,Psychonauts,inFAMOUS 2,Nex Machina,Prinny: Can I Really Be the Hero?,Bastion,Lotus III: The Ultimate Challenge,Pac-Land,,Under a Killing Moon,Pitfall!,The Black Onyx II: Search for the Fire Crystal,Cisco Heat,Neo Geo Cup '98
88,R-Type,Bust-a-Move 4,Bomberman Tournament,Final Fantasy III,Bye-Bye BoxBoy!,GO Series: 10 Second Run,Adventure Island II,Spider-Man & Venom: Maximum Carnage,Bomberman 64: The Second Attack,Lord of the Rings: The Third Age,Harvest Moon: Tree of Tranquility,Chariot,DOOM,,Aerial Assault,ESWAT: City Under Siege,Virtua Fighter Animation,,Lethal Enforcers II: Gun Fighters,Athlete Kings,Twinkle Star Sprites,Tenchu 2: Birth of the Stealth Assassins,Fatal Frame II: Crimson Butterfly,The Wolf Among Us,Divinity: Original Sin Enhanced Edition,Shadow of Destiny,Persona 4: Dancing All Night,Shadow of the Beast II,TV Sports Basketball,,Gabriel Knight 2: The Beast Within,Kung-Fu Master,Iga Ninpouten: Mangetsujou no Tatakai,Big Run,3 Count Bout
89,R-Type II,Frogger,Bomberman Max 2,Final Fantasy IV,Dillon's Rolling Western,G.G Series: Collection,Monster Party,Space Megaforce,Snowboard Kids 2,Harry Potter and the Chamber of Secrets,Harvest Moon: Animal Parade,The Cave,DOOM Eternal,,Submarine Attack,Crack Down,Fatal Fury Special,,Loadstar: The Legend of Tully Bodine,Winter Heat,Castle Shikigami 2,Metal Gear Solid: VR Missions,Silent Hill 3,God of War Collection: Volume II,Streets of Rage 4,Ape Escape: On the Loose,Metal Gear Solid HD Collection,Ruff 'n' Tumble,J.J. & Jeff,,Phantasmagoria,Decathlon,Knightmare III: Shalom,Wonder Boy in Monster Land,Soccer Brawl
90,Nemesis,Frogger 2,Mega Man & Bass,Final Fantasy XII: Revenant Wings,Dillon's Rolling Western: The Last Ranger,Reflect Missile,Solstice,Battletoads & Double Dragon: The Ultimate Team,Vigilante 8: 2nd Offense,Harry Potter and the Prisoner of Azkaban,Rune Factory Frontier,Nihilumbra,Skyrim,,Sagaia,Bonanza Bros.,Earthworm Jim,,Bug Blasters: The Exterminators,Sega Worldwide Soccer '97,Capcom vs. SNK: Millennium Fight 2000,Tony Hawk's Pro Skater 3,Silent Hill 4: The Room,Fallout: New Vegas,INSIDE,Ace Combat: Joint Assault,Plants vs. Zombies,Lionheart,China Warrior,,Broken Sword: The Shadow of the Templars,Green Beret (Rush'n Attack),Final Justice,Wonder Boy III: Monster Lair,Power Spikes II
91,Nemesis II,The Mummy,Riviera: The Promised Land,Final Fantasy Tactics A2: Grimoire of the Rift,Dillon's Dead-Heat Breakers,Robot Rescue,Ice Climber,Dragon Quest V,BattleTanx,Harry Potter: Quidditch World Cup,LEGO Star Wars: The Complete Saga,Bit.Trip Presents Runner2: Future Legend of Rhythm Alien,Bioshock: The Collection,,Fantasy Zone: The Maze,Shadow Dancer: The Secret of Shinobi,James Pond II: Codename RoboCod,,Mad Dog McCree,Sega Worldwide Soccer '98,Capcom vs. SNK 2,Intelligent Qube,Maximo: Ghosts to Glory,Final Fantasy X/X-2 HD Remaster,Guacamelee! 2,Grand Theft Auto: Vice City Stories,WipEout 2048,Rick Dangerous 2,Veigues Tactical Gladiator,,Beneath a Steel Sky,The Return of Ishtar,Bomber King,Shinobi,Real Bout Fatal Fury
92,Parodius,Kirby Tilt 'n' Tumble,Yggdra Union,The Legend of Zelda: Spirit Tracks,Radiant Historia: Perfect Chronology,Simply Sudoku,Deja Vu,The Lost Vikings II: Norse by Norsewest,Glover,Mega Man Anniversary Collection,LEGO Indiana Jones: The Original Adventures,Toki Tori 2+,Return of the Obra Dinn,,Pac-Mania,Golden Axe III,Asterix and the Great Rescue,,Mad Dog II: The Lost Gold,World Series Baseball,Marvel vs. Capcom: Clash of Super Heroes,Bust-A-Groove,Maximo vs. Army of Zin,ICO & Shadow of the Colossus Collection,Teenage Mutant Ninja Turtles: Shredder's Revenge,ModNation Racers,Lumines: Electronic Symphony,Mega-Lo-Mania,Impossamole,,"King's Quest VI: Heir Today, Gone Tomorrow",Sky Kid,Wanderers from Ys,Shadow Dancer,Fatal Fury 2
93,Elevator Action,Pac-Man: Special Color Edition,Lunar Legend,Professor Layton and the Last Specter,Stella Glow,Sudoku 4Pockets,Clash at Demonhead,Top Gear,Chameleon Twist,Mega Man X Collection,LEGO Batman: The Videogame,Little Inferno,Inside,,Shanghai,Columns,Asterix and the Secret Mission,,Marky Mark and the Funky Bunch: Make My Video,World Series Baseball II,Street Fighter Alpha 3,Jumping Flash!,Viewtiful Joe,Persona 5,Pistol Whip,Need for Speed: Shift,Rayman Origins,Battle Isle,Tricky Kick,,King's Quest V: Absence Makes the Heart Go Yonder,Sorcery,Mugen Senshi Valis,Golden Axe,Samurai Shodown III
94,Boxxle,Ms. Pac-Man: Special Color Edition,Shining Soul,Advance Wars: Days of Ruin,Code of Princess,Trajectile,North and South,Top Gear 3000,Gex 64: Enter the Gecko,Mega Man Network Transmission,LEGO Harry Potter: Years 1-4,World of Goo,Little Nightmares II,,Klax,Dr. Robotnik's Mean Bean Machine,The Smurfs,,Mary Shelley's Frankenstein,Madden NFL 97,Guilty Gear X,Jumping Flash! 2,Viewtiful Joe 2,Rayman Origins,Dead Cells,ATV Offroad Fury: Blazin' Trails,Dynasty Warriors 8: Xtreme Legends Complete Edition,Railroad Tycoon,Battle Royale,,Space Quest IV: Roger Wilco and the Time Rippers,Thexder,Soft de Hard na Monogatari,Alien Storm,Samurai Shodown
95,Boxxle II,Qix Adventure,Shining Soul II,Age of Empires: The Age of Kings,Senran Kagura Burst,Antipole,Guerrilla War,Pocky & Rocky 2,Road Rash 64,Harvest Moon: A Wonderful Life,LEGO Harry Potter: Years 5-7,Human Resource Machine,Little Nightmares,,Baku Baku,Wonder Boy in Monster World,Pac-Man,,MegaRace,Madden NFL 98,The Last Blade 2,Wipeout,Ratchet: Deadlocked,BioShock Infinite,Guacamelee! Super Turbo Championship Edition,Tom Clancy's Ghost Recon: Predator,Hatsune Miku: Project Diva F,Formula One Grand Prix,Hit the Ice,,Quest for Glory IV: Shadows of Darkness,Konami's Boxing,Pro Wrestling,Gain Ground,Breakers Revenge
96,Battletoads,Space Invaders,Shining Force: Resurrection of the Dark Dragon,Puzzle Quest: Challenge of the Warlords,Senran Kagura 2: Deep Crimson,Cake Ninja,NES Open Tournament Golf,Final Fight 3,Top Gear Rally,Harvest Moon: Magical Melody,LEGO Pirates of the Caribbean: The Video Game,Unepic,Darkest Dungeon,,Putt & Putter,Monster World IV,Ms. Pac-Man,,Mickey Mania,NBA Jam Tournament Edition,Fatal Fury: Mark of the Wolves,Destruction Derby,Tekken Tag Tournament,Deus Ex: Human Revolution,Pyre,Steambot Chronicles: Battle Tournament,Hatsune Miku: Project Diva F 2nd,Carrier Command,Super Dodge Ball,,Quest for Glory I: So You Want to Be a Hero,Konami's Golf,Combat,Fantasy Zone,Puzzled
97,Double Dragon,Galaga & Galaxian,Medabots: Metabee,Planet Puzzle League,Corpse Party,Anonymous Notes: From the Abyss,DuckTales 2,Pocky & Rocky,Top Gear Rally 2,The Sims,Epic Mickey,Stick It to The Man!,Enter the Gungeon,,World Class Leaderboard,Decap Attack,Klax,,Alshark,NBA Jam Extreme,King of Fighters '99: Evolution,Twisted Metal,Tekken 4,Tales of Xillia,Beat Saber,Scooby-Doo! Who's Watching Who?,The Sly Collection,Wing Commander,TaleSpin,,Police Quest: In Pursuit of the Death Angel,Konami's Tennis,Battle Cruiser,Fantasy Zone II,Gururin
98,Double Dragon II,Tetris Plus,Medabots: Rokusho,Clubhouse Games,Azure Striker Gunvolt,Neko Flight,Ninja Gaiden III: The Ancient Ship of Doom,Ken Griffey Jr.'s Winning Run,Top Gear Overdrive,The Sims 2,Epic Mickey 2: The Power of Two,Lone Survivor: The Director's Cut,The Binding of Isaac: Afterbirth+,,Super Monaco GP,Flashback: The Quest for Identity,Pengo,,Mighty Morphin Power Rangers,NBA Action,King of Fighters 2000,Jet Moto,Amplitude,Heavy Rain,Sea of Stars,Need for Speed: ProStreet,Zen Pinball 2,Midwinter,Falcon,,Leisure Suit Larry in the Land of the Lounge Lizards,Konami's Ping Pong,Astro Robo Sasa,Dynamite Dux,Flip Shot
99,Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Klax,Dragon Ball Z: The Legacy of Goku II,Bomberman,Azure Striker Gunvolt 2,Crystal Monsters,Adventures of Lolo 2,Mortal Kombat 3,Re-Volt,The Sims: Bustin' Out,Sonic Unleashed,OlliOlli,Rogue Legacy 2,,Ayrton Senna's Super Monaco GP II,Another World,Fantasy Zone,,Mortal Kombat,NBA Live 97,King of Fighters '98: Dream Match,Jet Moto 2,Frequency,Uncharted: Drake's Fortune,Rogue Legacy,The Fast and the Furious,Tokyo Xanadu,Walker,Valis,,Dune,Konami's Billiards,Shinobi,Bonanza Bros.,Bang Bead
100,TMNT II: Back from the Sewers,Looney Tunes,Dragon Ball Z: Buu's Fury,Kirby Mass Attack,Mighty Gunvolt Burst,Legends of Exidia,Rygar,Bust-A-Move,Hydro Thunder,Phantasy Star Online Episode I & II,Sonic and the Secret Rings,Don't Starve: Giant Edition,Blasphemous,,GP Rider,Prince of Persia,Fantasy Zone Gear,,NBA Jam,NBA Live 98,Vampire Chronicle for Matching Service,Cool Boarders 2,Ar Tonelico: Melody of Elemia,Call of Duty 4: Modern Warfare,Stardew Valley,Need for Speed: Undercover,Disgaea 3: Absence of Detention,Cadaver,Valis IV,,Tomb Raider,Fruit Panic,American Truck,Crack Down,Goal! Goal! Goal!
101,TMNT III: Radical Rescue,Looney Tunes: Carrot Crazy,Mega Man Battle Network 4,Jump Ultimate Stars,Mutant Mudds,Car Jack Streets,Solomon's Key,Super Turrican,World Driver Championship,Phantasy Star Online Episode III: C.A.R.D. Revolution,Sonic and the Black Knight,DuckTales: Remastered,Blasphemous 2,,Hang-On,QuackShot Starring Donald Duck,Galaga '91,,NHL '94,NHL All-Star Hockey,Jojo's Bizarre Adventure,Need for Speed III: Hot Pursuit,Ar Tonelico II: Melody of Metafalica,The Orange Box,Fallout 4,Hot Wheels: Ultimate Racing,Code: Realize - Guardian of Rebirth,Ishar 2: Messengers of Doom,Madou Monogatari I,,Prince of Persia 2: The Shadow and the Flame,Hustle Chumy,Super Runner,E-SWAT: Cyber Police,The King of Fighters 2003
102,The King of Fighters '95,Looney Tunes Collector: Alert!,Dragon Ball: Advanced Adventure,Osu! Tatakae! Ouendan,Mutant Mudds: Super Challenge,Paul's Shooting Adventure,Pro Wrestling,Ninja Gaiden Trilogy,Mortal Kombat Trilogy,Lost Kingdoms,Mario & Sonic at the Olympic Games,Giana Sisters: Twisted Dreams,CrossCode,,Enduro Racer,The Adventures of Batman & Robin,Halley Wars,,Night Striker,NHL All-Star Hockey '98,Tech Romancer,Need for Speed: High Stakes,Suikoden IV,Dark Souls II,Kingdom Hearts III,Dave Mirra BMX Challenge,Oddworld: Stranger's Wrath HD,Ishar 3: The Seven Gates of Infinity,Rayxanber III,,Jazz Jackrabbit,Donkey Kong,Pennant Race 2,Altered Beast,The King of Fighters 2001
103,Bomberman GB,Rampage World Tour,Sonic Battle,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan 2,Cave Story 3D,Magical Whip: Wizards of Phantasmal Forest,StarTropics II: Zoda's Revenge,Aero Fighters,Mortal Kombat 4,Lost Kingdoms II,Mario & Sonic at the Olympic Winter Games,Another World: 20th Anniversary Edition,Hyper Light Drifter,,Out Run 3-D,Sonic 3D Blast,Dragon Crystal,,The Ninja Warriors,NFL Quarterback Club '96,Project Justice,Driver 2,Suikoden V,Odin Sphere: Leifthrasir,Bloodstained: Ritual of the Night,Crash Tag Team Racing,Muv-Luv Alternative,Amberstar,Renny Blaster,,The Lost Vikings,Mr. Do!,Hacker,R-Type II,The King of Fighters 2000
104,Super RC Pro-Am,Rampage 2: Universal Tour,Sonic Pinball Party,Bleach: The Blade of Fate,Shin Megami Tensei: Strange Journey Redux,Sparkle Snapshots,Adventure Island,Blackthorne,Fighter's Destiny,Final Fantasy: Crystal Chronicles,Mario & Sonic at the London 2012 Olympic Games,Pier Solar and the Great Architects,Gris,,OutRun Europa,Sonic Spinball,Home Alone,,Novastorm,NFL Quarterback Club '97,Plasma Sword,GTA 2,Valkyrie Profile 2: Silmeria,Eternal Sonata,Mass Effect Legendary Edition,Twisted Metal: Head-On,Steins;Gate 0,Legend of Faerghail,Steam Hearts,,Earthworm Jim,Space Invaders,Parodius Da!,R-Type Leo,The King of Fighters '99
105,Wave Race,Return of the Ninja,Sigma Star Saga,Contact,Sonic Generations,Mixed Messages,Rad Racer,Lufia & the Fortress of Doom,Flying Dragon,Mega Man X: Command Mission,NiGHTS: Journey of Dreams,Citizens of Earth,A Short Hike,,Battle OutRun,Dune: The Battle for Arrakis,Tom and Jerry: The Movie,,Panic!,Steep Slope Sliders,Bomberman Online,Grand Theft Auto,Star Ocean: Till the End of Time,The Legend of Heroes: Trails of Cold Steel,Batman: Arkham Knight,MX vs. ATV: On the Edge,PlayStation All-Stars Battle Royale,Bloodwych,Toilet Kids,,Aladdin,Moon Patrol,Deus Ex Machina,Image Fight,The King of Fighters '95
106,Pokemon Trading Card Game,Rugrats: Time Travelers,Kuru Kuru Kururin,Infinite Space,Sonic Lost World,Spin Six,Bomberman,Star Fox 2,ClayFighter 63 1/3,Gladius,Klonoa,Xeodrifter,Outer Wilds,,Road Rash,Populous,Taz-Mania,,Mahou no Shoujo Silky Lip,Sega Touring Car Championship,Mortal Kombat Gold,Fear Effect,Tales of Legendia,Disgaea D2: A Brighter Darkness,DOOM Eternal,Pac-Man World Rally,Nidhogg,Desert Strike: Return to the Gulf,Appare! Gateball,,The Lion King,Congo Bongo,Suishou no Dragon,X-Multiply,The King of Fighters '94
107,Puzzle Boy,San Francisco Rush 2049,Racing Gears Advance,Solatorobo: Red the Hunter,Sonic Boom: Shattered Crystal,Invasion of the Alien Blobs!,Joy Mech Fight,The Great Circus Mystery Starring Mickey & Minnie,War Gods,Second Sight,Deadly Creatures,Adventures of Pip,Inscryption,,Chase H.Q.,Pirates! Gold,Daffy Duck in Hollywood,,Radical Rex,Manx TT Superbike,WWF Royal Rumble,Fear Effect 2: Retro Helix,Radiata Stories,The Legend of Heroes: Trails of Cold Steel II,Elden Ring,Midnight Club 3: DUB Edition,Call of Duty: Black Ops - Declassified,Leander,Dead Moon,,Rayman,Zaxxon,Dragon Wars,In the Hunt,World Heroes Perfect
108,Picross 2,Sabrina: The Animated Series: Zapped!,V-Rally 3,Valkyrie Profile: Covenant of the Plume,Ace Combat: Assault Horizon Legacy,Puzzle League Express,Mach Rider,True Lies,Bio F.R.E.A.K.S.,Baldur's Gate: Dark Alliance,Elebits,Year Walk,Neon White,,Special Criminal Investigation,Batman,Indiana Jones and the Last Crusade,,Racing Aces,Hang-On GP,ECW Hardcore Revolution,Gex: Enter the Gecko,Growlanser: Heritage of War,Tales of Xillia 2,The Evil Within,Asphalt: Urban GT 2,NightCry,First Samurai,Cyber Core,,Commander Keen 4: Secret of the Oracle,Bank Panic,Cybernoid,Gunforce II,World Heroes 2 Jet
109,Mario & Yoshi,Scooby-Doo! Classic Creep Capers,Need for Speed: Underground,Suikoden Tierkreis,Tekken 3D: Prime Edition,Clubhouse Games Express: Card Classics,Mighty Bomb Jack,X-Men: Mutant Apocalypse,Rakuga Kids,1080° Avalanche,Pokemon Battle Revolution,Severed,Cult of the Lamb,,Super Kick Off,Batman Returns,Hook,,Revengers of Vengeance,High Velocity,Fire Pro Wrestling D,Croc: Legend of the Gobbos,Atelier Iris: Eternal Mana,Atelier Escha & Logy: Alchemists of the Dusk Sky,Yakuza: Like a Dragon,Need for Speed: Most Wanted 5-1-0,Tokyo Tattoo Girls,Chuck Rock,Break In,,Raptor: Call of the Shadows,Popeye,Manbow 2,Undercover Cops,World Heroes 2
